../../../pdielec -processors 4 -method ap -method bruggeman -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 0 0 -LO 0 1 0 -LO 0 0 1 -csv command1.csv -masses program -program abinit BaTiO3.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   0,   65.74,         1.935128,                8177.076262,  1041.1377,     5.0
   1,   65.74,         1.935115,                8177.020635,  1041.1306,     5.0
   2,   65.75,         1.934571,                8174.722771,  1040.8380,     5.0
   3,  198.01,        37.112289,              156821.689833, 19967.1577,     5.0
   4,  198.01,        37.112483,              156822.507130, 19967.2618,     5.0
   5,  198.02,        37.125602,              156877.944975, 19974.3203,     5.0
   6,  270.59,         0.000000,                   0.000141,     0.0000,     5.0
   7,  270.59,         0.000000,                   0.000128,     0.0000,     5.0
   8,  270.59,         0.000000,                   0.000001,     0.0000,     5.0
   9,  279.35,        33.055024,              139677.308047, 17784.2672,     5.0
  10,  279.35,        33.063614,              139713.606233, 17788.8888,     5.0
  11,  279.35,        33.063542,              139713.302190, 17788.8501,     5.0
  12,  493.63,        20.513710,               86682.731944, 11036.7882,     5.0
  13,  493.63,        20.515522,               86690.388406, 11037.7631,     5.0
  14,  493.63,        20.515522,               86690.388408, 11037.7631,     5.0
,,,,,,cm-1,thz,ap_noshape(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape(0 0 1)_real_dielectric(vf=0.1),bruggeman_plate(0 0 1)_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape(0 0 1)_imag_dielectric(vf=0.1),bruggeman_plate(0 0 1)_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape(0 0 1)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(0 0 1)_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    0.000000,    0.000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,          8.12458476,          2.73014330,          2.73011124,          2.73007549,          0.00000000,          0.00000000,          0.00000000,          0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000
,,,,,,    0.200000,    0.005996,          0.00003283,          0.00000098,          0.00000097,          0.00000097,          8.12460028,          2.73014356,          2.73011150,          2.73007576,          0.00038957,          0.00000672,          0.00000670,          0.00000667,          0.00007459,          0.00000222,          0.00000221,          0.00000220
,,,,,,    0.400000,    0.011992,          0.00013132,          0.00000391,          0.00000389,          0.00000388,          8.12464681,          2.73014437,          2.73011231,          2.73007656,          0.00077917,          0.00001343,          0.00001339,          0.00001335,          0.00029837,          0.00000887,          0.00000885,          0.00000882
,,,,,,    0.600000,    0.017988,          0.00029549,          0.00000879,          0.00000876,          0.00000873,          8.12472437,          2.73014571,          2.73011364,          2.73007789,          0.00116885,          0.00002015,          0.00002009,          0.00002003,          0.00067138,          0.00001997,          0.00001991,          0.00001984
,,,,,,    0.800000,    0.023983,          0.00052537,          0.00001562,          0.00001558,          0.00001553,          8.12483296,          2.73014758,          2.73011551,          2.73007975,          0.00155862,          0.00002687,          0.00002679,          0.00002671,          0.00119368,          0.00003550,          0.00003540,          0.00003528
,,,,,,    1.000000,    0.029979,          0.00082100,          0.00002441,          0.00002434,          0.00002427,          8.12497260,          2.73014999,          2.73011791,          2.73008215,          0.00194854,          0.00003359,          0.00003349,          0.00003338,          0.00186536,          0.00005547,          0.00005531,          0.00005513
,,,,,,    1.200000,    0.035975,          0.00118241,          0.00003516,          0.00003506,          0.00003495,          8.12514329,          2.73015294,          2.73012085,          2.73008507,          0.00233862,          0.00004031,          0.00004020,          0.00004007,          0.00268652,          0.00007989,          0.00007966,          0.00007940
,,,,,,    1.400000,    0.041971,          0.00160968,          0.00004787,          0.00004773,          0.00004757,          8.12534506,          2.73015642,          2.73012432,          2.73008854,          0.00272892,          0.00004704,          0.00004690,          0.00004675,          0.00365731,          0.00010875,          0.00010844,          0.00010809
,,,,,,    1.600000,    0.047967,          0.00210288,          0.00006253,          0.00006235,          0.00006215,          8.12557791,          2.73016044,          2.73012833,          2.73009253,          0.00311945,          0.00005377,          0.00005361,          0.00005344,          0.00477788,          0.00014207,          0.00014166,          0.00014120
,,,,,,    1.800000,    0.053963,          0.00266208,          0.00007915,          0.00007892,          0.00007867,          8.12584187,          2.73016499,          2.73013287,          2.73009706,          0.00351026,          0.00006050,          0.00006032,          0.00006013,          0.00604843,          0.00017984,          0.00017932,          0.00017874
