../../../pdielec -matrix ptfe -sigma 5 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 qua_hf_2d_f_ir-int.out -optical_tensor 2.018 0 0 0 2.018 0 0 0 2.071 -csv command.csv
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  143.36,         0.000125,                   0.526914,     0.0671,     5.0
   4,  143.36,         0.000137,                   0.577966,     0.0736,     5.0
   5,  219.76,         0.000015,                   0.062798,     0.0080,     5.0
   6,  285.80,         0.219970,                 929.504963,   118.3482,     5.0
   7,  285.80,         0.220859,                 933.263851,   118.8268,     5.0
   8,  383.15,         0.000003,                   0.012340,     0.0016,     5.0
   9,  395.26,         5.330176,               22523.190806,  2867.7417,     5.0
  10,  428.18,         2.826487,               11943.604000,  1520.7069,     5.0
  11,  428.18,         2.822143,               11925.247717,  1518.3697,     5.0
  12,  492.09,        10.485444,               44307.294148,  5641.3799,     5.0
  13,  492.09,        10.459705,               44198.527799,  5627.5313,     5.0
  14,  502.25,         0.000007,                   0.030802,     0.0039,     5.0
  15,  544.53,        10.684156,               45146.971138,  5748.2909,     5.0
  16,  739.67,         0.602299,                2545.073342,   324.0488,     5.0
  17,  739.67,         0.596466,                2520.427559,   320.9108,     5.0
  18,  824.10,         3.254740,               13753.228986,  1751.1155,     5.0
  19,  847.31,         4.970620,               21003.852794,  2674.2936,     5.0
  20,  847.31,         4.960699,               20961.928146,  2668.9556,     5.0
  21, 1124.43,        41.187535,              174042.049294, 22159.7220,     5.0
  22, 1124.43,        41.149179,              173879.971699, 22139.0856,     5.0
  23, 1131.32,        43.940335,              185674.281211, 23640.7837,     5.0
  24, 1139.50,         0.000004,                   0.018537,     0.0024,     5.0
  25, 1233.44,         0.606878,                2564.422943,   326.5125,     5.0
  26, 1233.44,         0.611846,                2585.415876,   329.1854,     5.0
,,,,,cm-1,thz,maxwell_needle[0 0 1]_real_dielectric(vf=0.100000),maxwell_needle[0 0 1]_imag_dielectric(vf=0.100000),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(vf=0.100000),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.100000),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.100000),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.100000),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coeficient_cm-1(vf=0.100000),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.100000),maxwell_plate(1 0 0)_real_dielectric(vf=0.100000),maxwell_plate(1 0 0)_imag_dielectric(vf=0.100000),maxwell_plate(1 0 0)_absorption_coeficient_cm-1(vf=0.100000),maxwell_plate(1 0 0)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.100000)
,,,,,    0.000000,    0.000000,          2.16197276,          0.00000000,         -0.00000000,         -0.00000000,          2.15488042,          0.00000000,         -0.00000000,         -0.00000000,          2.17174998,          0.00000000,         -0.00000000,         -0.00000000
,,,,,    0.200000,    0.005996,          2.16197278,          0.00000044,          0.00000016,          0.00000011,          2.15488044,          0.00000039,          0.00000015,          0.00000010,          2.17175000,          0.00000051,          0.00000019,          0.00000013
,,,,,    0.400000,    0.011992,          2.16197283,          0.00000088,          0.00000066,          0.00000045,          2.15488048,          0.00000078,          0.00000058,          0.00000040,          2.17175006,          0.00000102,          0.00000076,          0.00000052
,,,,,    0.600000,    0.017988,          2.16197292,          0.00000133,          0.00000148,          0.00000101,          2.15488056,          0.00000118,          0.00000131,          0.00000089,          2.17175017,          0.00000153,          0.00000171,          0.00000116
,,,,,    0.800000,    0.023983,          2.16197304,          0.00000177,          0.00000263,          0.00000179,          2.15488067,          0.00000157,          0.00000233,          0.00000159,          2.17175031,          0.00000205,          0.00000303,          0.00000206
,,,,,    1.000000,    0.029979,          2.16197320,          0.00000221,          0.00000410,          0.00000279,          2.15488081,          0.00000196,          0.00000364,          0.00000248,          2.17175049,          0.00000256,          0.00000474,          0.00000322
,,,,,    1.200000,    0.035975,          2.16197340,          0.00000265,          0.00000591,          0.00000402,          2.15488099,          0.00000235,          0.00000525,          0.00000357,          2.17175072,          0.00000307,          0.00000682,          0.00000464
,,,,,    1.400000,    0.041971,          2.16197363,          0.00000309,          0.00000804,          0.00000547,          2.15488119,          0.00000274,          0.00000714,          0.00000486,          2.17175098,          0.00000358,          0.00000928,          0.00000632
,,,,,    1.600000,    0.047967,          2.16197389,          0.00000354,          0.00001050,          0.00000715,          2.15488142,          0.00000314,          0.00000933,          0.00000635,          2.17175129,          0.00000409,          0.00001213,          0.00000826
,,,,,    1.800000,    0.053963,          2.16197419,          0.00000398,          0.00001329,          0.00000905,          2.15488169,          0.00000353,          0.00001181,          0.00000804,          2.17175164,          0.00000460,          0.00001535,          0.00001045
,,,,,    2.000000,    0.059958,          2.16197453,          0.00000442,          0.00001641,          0.00001117,          2.15488199,          0.00000392,          0.00001458,          0.00000993,          2.17175203,          0.00000512,          0.00001895,          0.00001290
,,,,,    2.200000,    0.065954,          2.16197490,          0.00000486,          0.00001986,          0.00001352,          2.15488232,          0.00000431,          0.00001764,          0.00001201,          2.17175246,          0.00000563,          0.00002293,          0.00001561
,,,,,    2.400000,    0.071950,          2.16197531,          0.00000531,          0.00002363,          0.00001609,          2.15488268,          0.00000471,          0.00002099,          0.00001429,          2.17175293,          0.00000614,          0.00002728,          0.00001858
,,,,,    2.600000,    0.077946,          2.16197575,          0.00000575,          0.00002773,          0.00001888,          2.15488307,          0.00000510,          0.00002464,          0.00001678,          2.17175344,          0.00000665,          0.00003202,          0.00002180
,,,,,    2.800000,    0.083942,          2.16197623,          0.00000619,          0.00003217,          0.00002190,          2.15488350,          0.00000549,          0.00002858,          0.00001946,          2.17175399,          0.00000716,          0.00003714,          0.00002528
