../../../pdielec -size 0 -size 1 -size 3 -method ap -method bruggeman -matrix ptfe -sigma 5 -ellipsoid 0 0 1 0.5 -csv command1.csv -masses program -program abinit BaTiO3.out
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   0,   65.74,         1.935107,                8176.986979,  1041.1263,     5.0
   1,   65.74,         1.935136,                8177.109917,  1041.1420,     5.0
   2,   65.75,         1.934571,                8174.722771,  1040.8380,     5.0
   3,  198.01,        37.112257,              156821.552337, 19967.1402,     5.0
   4,  198.01,        37.112515,              156822.644626, 19967.2793,     5.0
   5,  198.02,        37.125602,              156877.944975, 19974.3203,     5.0
   6,  270.59,         0.000000,                   0.000141,     0.0000,     5.0
   7,  270.59,         0.000000,                   0.000129,     0.0000,     5.0
   8,  270.59,         0.000000,                   0.000000,     0.0000,     5.0
   9,  279.35,        33.055024,              139677.308047, 17784.2672,     5.0
  10,  279.35,        33.063740,              139714.140406, 17788.9569,     5.0
  11,  279.35,        33.063415,              139712.768017, 17788.7821,     5.0
  12,  493.63,        20.513710,               86682.731944, 11036.7882,     5.0
  13,  493.63,        20.515522,               86690.388406, 11037.7631,     5.0
  14,  493.63,        20.515522,               86690.388408, 11037.7631,     5.0
,,,,,,cm-1,thz,ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/3mu)
,,,,,,    0.000000,    0.000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,          8.12458476,          8.12458476,          8.12458476,          2.73011123,          2.73011123,          2.73011123,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000
,,,,,,    0.200000,    0.005996,          0.00003283,          0.00003283,          0.00003283,          0.00000097,          0.00000097,          0.00000097,          8.12460028,          8.12460028,          8.12460028,          2.73011150,          2.73011151,          2.73011154,          0.00038957,          0.00038957,          0.00038957,          0.00000670,          0.00000670,          0.00000670,          0.00007459,          0.00007459,          0.00007459,          0.00000221,          0.00000221,          0.00000221
,,,,,,    0.400000,    0.011992,          0.00013132,          0.00013132,          0.00013132,          0.00000389,          0.00000389,          0.00000389,          8.12464681,          8.12464681,          8.12464681,          2.73011231,          2.73011232,          2.73011247,          0.00077917,          0.00077917,          0.00077917,          0.00001339,          0.00001339,          0.00001339,          0.00029837,          0.00029837,          0.00029837,          0.00000885,          0.00000885,          0.00000885
,,,,,,    0.600000,    0.017988,          0.00029549,          0.00029549,          0.00029549,          0.00000876,          0.00000876,          0.00000876,          8.12472437,          8.12472437,          8.12472437,          2.73011364,          2.73011368,          2.73011400,          0.00116885,          0.00116885,          0.00116885,          0.00002009,          0.00002009,          0.00002009,          0.00067138,          0.00067138,          0.00067138,          0.00001991,          0.00001991,          0.00001991
,,,,,,    0.800000,    0.023983,          0.00052537,          0.00052537,          0.00052537,          0.00001558,          0.00001558,          0.00001558,          8.12483296,          8.12483296,          8.12483296,          2.73011551,          2.73011558,          2.73011615,          0.00155862,          0.00155862,          0.00155862,          0.00002679,          0.00002679,          0.00002679,          0.00119368,          0.00119368,          0.00119368,          0.00003540,          0.00003540,          0.00003539
,,,,,,    1.000000,    0.029979,          0.00082100,          0.00082100,          0.00082100,          0.00002434,          0.00002434,          0.00002434,          8.12497260,          8.12497260,          8.12497260,          2.73011791,          2.73011802,          2.73011891,          0.00194854,          0.00194854,          0.00194854,          0.00003349,          0.00003349,          0.00003349,          0.00186536,          0.00186536,          0.00186536,          0.00005531,          0.00005531,          0.00005531
,,,,,,    1.200000,    0.035975,          0.00118241,          0.00118241,          0.00118241,          0.00003506,          0.00003506,          0.00003506,          8.12514329,          8.12514329,          8.12514329,          2.73012085,          2.73012101,          2.73012229,          0.00233862,          0.00233862,          0.00233862,          0.00004020,          0.00004020,          0.00004019,          0.00268652,          0.00268652,          0.00268652,          0.00007966,          0.00007966,          0.00007965
,,,,,,    1.400000,    0.041971,          0.00160968,          0.00160968,          0.00160968,          0.00004773,          0.00004773,          0.00004772,          8.12534506,          8.12534506,          8.12534506,          2.73012432,          2.73012454,          2.73012628,          0.00272892,          0.00272892,          0.00272892,          0.00004690,          0.00004690,          0.00004690,          0.00365731,          0.00365731,          0.00365731,          0.00010844,          0.00010844,          0.00010843
,,,,,,    1.600000,    0.047967,          0.00210288,          0.00210288,          0.00210288,          0.00006235,          0.00006235,          0.00006234,          8.12557791,          8.12557791,          8.12557791,          2.73012833,          2.73012861,          2.73013089,          0.00311945,          0.00311945,          0.00311945,          0.00005361,          0.00005361,          0.00005361,          0.00477788,          0.00477788,          0.00477788,          0.00014166,          0.00014166,          0.00014165
,,,,,,    1.800000,    0.053963,          0.00266208,          0.00266208,          0.00266208,          0.00007892,          0.00007892,          0.00007892,          8.12584187,          8.12584187,          8.12584187,          2.73013287,          2.73013323,          2.73013611,          0.00351026,          0.00351026,          0.00351026,          0.00006032,          0.00006032,          0.00006032,          0.00604843,          0.00604843,          0.00604843,          0.00017932,          0.00017932,          0.00017930
