../../../pdielec -size 0 -size 0.1 -size 1 -size 3 -vmin 300 -vmax 800 -sphere -method maxwell -sigma 10 -csv command1.csv phonon
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   4,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   5,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/0.1mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),maxwell_sphere_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1/0.1mu),maxwell_sphere_real_dielectric(vf=0.1/1mu),maxwell_sphere_real_dielectric(vf=0.1/3mu),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1/0.1mu),maxwell_sphere_imag_dielectric(vf=0.1/1mu),maxwell_sphere_imag_dielectric(vf=0.1/3mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/0.1mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/1mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/3mu)
,,,,,,  300.000000,    8.993774,          0.36253037,          0.36256808,          0.33410554,          0.63108326,          2.48762171,          2.48767334,          2.49279817,          2.53376787,          0.00605670,          0.00605740,          0.00558762,         -0.01064071,          3.14361421,          3.14394117,          2.89713363,          5.47232031
,,,,,,  300.200000,    8.999770,          0.36344722,          0.36348512,          0.33492406,          0.63393354,          2.48786396,          2.48791572,          2.49305254,          2.53411829,          0.00606827,          0.00606897,          0.00559786,         -0.01068238,          3.15156454,          3.15189314,          2.90423130,          5.49703597
,,,,,,  300.400000,    9.005765,          0.36436662,          0.36440471,          0.33574482,          0.63679545,          2.48810668,          2.48815856,          2.49330740,          2.53446946,          0.00607987,          0.00608057,          0.00560813,         -0.01072421,          3.15953694,          3.15986720,          2.91134830,          5.52185249
,,,,,,  300.600000,    9.011761,          0.36528858,          0.36532686,          0.33656780,          0.63966904,          2.48834987,          2.48840186,          2.49356275,          2.53482138,          0.00609149,          0.00609220,          0.00561843,         -0.01076618,          3.16753149,          3.16786341,          2.91848468,          5.54677031
,,,,,,  300.800000,    9.017757,          0.36621310,          0.36625157,          0.33739304,          0.64255437,          2.48859351,          2.48864563,          2.49381861,          2.53517404,          0.00610315,          0.00610385,          0.00562875,         -0.01080831,          3.17554827,          3.17588186,          2.92564053,          5.57178986
,,,,,,  301.000000,    9.023753,          0.36714019,          0.36717885,          0.33822052,          0.64545147,          2.48883763,          2.48888987,          2.49407496,          2.53552745,          0.00611483,          0.00611554,          0.00563909,         -0.01085058,          3.18358736,          3.18392263,          2.93281589,          5.59691158
,,,,,,  301.200000,    9.029749,          0.36806986,          0.36810872,          0.33905026,          0.64836041,          2.48908221,          2.48913457,          2.49433180,          2.53588162,          0.00612655,          0.00612726,          0.00564946,         -0.01089300,          3.19164884,          3.19198579,          2.94001086,          5.62213589
,,,,,,  301.400000,    9.035745,          0.36900212,          0.36904117,          0.33988227,          0.65128123,          2.48932726,          2.48937974,          2.49458915,          2.53623655,          0.00613829,          0.00613901,          0.00565986,         -0.01093558,          3.19973278,          3.20007142,          2.94722548,          5.64746326
,,,,,,  301.600000,    9.041741,          0.36993698,          0.36997623,          0.34071656,          0.65421399,          2.48957278,          2.48962538,          2.49484700,          2.53659223,          0.00615007,          0.00615078,          0.00567028,         -0.01097831,          3.20783925,          3.20817960,          2.95445984,          5.67289410
,,,,,,  301.800000,    9.047736,          0.37087445,          0.37091390,          0.34155313,          0.65715873,          2.48981877,          2.48987149,          2.49510535,          2.53694867,          0.00616187,          0.00616259,          0.00568073,         -0.01102119,          3.21596835,          3.21631041,          2.96171401,          5.69842888
,,,,,,  302.000000,    9.053732,          0.37181454,          0.37185419,          0.34239199,          0.66011551,          2.49006523,          2.49011808,          2.49536421,          2.53730588,          0.00617370,          0.00617443,          0.00569121,         -0.01106423,          3.22412015,          3.22446393,          2.96898804,          5.72406802
,,,,,,  302.200000,    9.059728,          0.37275725,          0.37279710,          0.34323315,          0.66308438,          2.49031216,          2.49036514,          2.49562357,          2.53766384,          0.00618557,          0.00618629,          0.00570171,         -0.01110742,          3.23229473,          3.23264023,          2.97628202,          5.74981200
,,,,,,  302.400000,    9.065724,          0.37370261,          0.37374265,          0.34407662,          0.66606538,          2.49055957,          2.49061267,          2.49588344,          2.53802258,          0.00619746,          0.00619819,          0.00571224,         -0.01115076,          3.24049216,          3.24083940,          2.98359600,          5.77566125
,,,,,,  302.600000,    9.071720,          0.37465060,          0.37469085,          0.34492241,          0.66905859,          2.49080745,          2.49086068,          2.49614381,          2.53838208,          0.00620939,          0.00621012,          0.00572280,         -0.01119426,          3.24871253,          3.24906152,          2.99093008,          5.80161622
,,,,,,  302.800000,    9.077716,          0.37560125,          0.37564170,          0.34577052,          0.67206403,          2.49105581,          2.49110916,          2.49640470,          2.53874236,          0.00622134,          0.00622208,          0.00573338,         -0.01123792,          3.25695593,          3.25730667,          2.99828431,          5.82767738
,,,,,,  303.000000,    9.083711,          0.37655457,          0.37659522,          0.34662096,          0.67508177,          2.49130465,          2.49135812,          2.49666609,          2.53910341,          0.00623332,          0.00623406,          0.00574399,         -0.01128173,          3.26522242,          3.26557493,          3.00565876,          5.85384518
,,,,,,  303.200000,    9.089707,          0.37751056,          0.37755141,          0.34747375,          0.67811187,          2.49155397,          2.49160757,          2.49692800,          2.53946523,          0.00624534,          0.00624608,          0.00575462,         -0.01132570,          3.27351209,          3.27386638,          3.01305351,          5.88012008
,,,,,,  303.400000,    9.095703,          0.37846923,          0.37851029,          0.34832888,          0.68115437,          2.49180377,          2.49185749,          2.49719042,          2.53982784,          0.00625739,          0.00625813,          0.00576528,         -0.01136983,          3.28182503,          3.28218109,          3.02046863,          5.90650254
,,,,,,  303.600000,    9.101699,          0.37943059,          0.37947186,          0.34918637,          0.68420933,          2.49205405,          2.49210790,          2.49745336,          2.54019122,          0.00626946,          0.00627021,          0.00577597,         -0.01141411,          3.29016131,          3.29051917,          3.02790419,          5.93299303
,,,,,,  303.800000,    9.107695,          0.38039466,          0.38043613,          0.35004622,          0.68727679,          2.49230481,          2.49235878,          2.49771681,          2.54055539,          0.00628157,          0.00628232,          0.00578669,         -0.01145856,          3.29852102,          3.29888068,          3.03536027,          5.95959201
,,,,,,  304.000000,    9.113691,          0.38136143,          0.38140312,          0.35090845,          0.69035683,          2.49255606,          2.49261016,          2.49798077,          2.54092034,          0.00629371,          0.00629447,          0.00579743,         -0.01150316,          3.30690424,          3.30726570,          3.04283694,          5.98629996
,,,,,,  304.200000,    9.119687,          0.38233093,          0.38237282,          0.35177307,          0.69344949,          2.49280779,          2.49286202,          2.49824526,          2.54128608,          0.00630588,          0.00630664,          0.00580820,         -0.01154793,          3.31531105,          3.31567434,          3.05033427,          6.01311734
,,,,,,  304.400000,    9.125682,          0.38330316,          0.38334526,          0.35264007,          0.69655482,          2.49306001,          2.49311436,          2.49851027,          2.54165260,          0.00631808,          0.00631884,          0.00581900,         -0.01159286,          3.32374154,          3.32410665,          3.05785233,          6.04004464
,,,,,,  304.600000,    9.131678,          0.38427812,          0.38432044,          0.35350947,          0.69967288,          2.49331271,          2.49336719,          2.49877579,          2.54201992,          0.00633031,          0.00633108,          0.00582983,         -0.01163795,          3.33219579,          3.33256274,          3.06539120,          6.06708232
,,,,,,  304.800000,    9.137674,          0.38525584,          0.38529837,          0.35438129,          0.70280372,          2.49356591,          2.49362052,          2.49904184,          2.54238804,          0.00634258,          0.00634335,          0.00584068,         -0.01168320,          3.34067388,          3.34104268,          3.07295095,          6.09423086
,,,,,,  305.000000,    9.143670,          0.38623632,          0.38627906,          0.35525551,          0.70594741,          2.49381959,          2.49387433,          2.49930842,          2.54275695,          0.00635487,          0.00635565,          0.00585156,         -0.01172862,          3.34917590,          3.34954655,          3.08053166,          6.12149075
,,,,,,  305.200000,    9.149666,          0.38721956,          0.38726252,          0.35613217,          0.70910399,          2.49407377,          2.49412863,          2.49957552,          2.54312666,          0.00636720,          0.00636798,          0.00586247,         -0.01177420,          3.35770193,          3.35807445,          3.08813341,          6.14886247
