../../../pdielec -matrix ptfe -sigma 5 -method maxwell -method bruggeman -method ap -vf 0.1 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command1.csv -masses program -neutral -program vasp OUTCAR
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   91.20,         0.412419,                1742.719237,   221.8899,     5.0
   4,  107.89,         0.000000,                   0.000600,     0.0001,     5.0
   5,  113.15,         0.000000,                   0.000485,     0.0001,     5.0
   6,  120.54,         1.509238,                6377.437976,   812.0006,     5.0
   7,  124.53,         0.000000,                   0.000330,     0.0000,     5.0
   8,  134.04,         2.960977,               12511.903171,  1593.0650,     5.0
   9,  141.99,         0.000000,                   0.000082,     0.0000,     5.0
  10,  180.96,         0.000000,                   0.000183,     0.0000,     5.0
  11,  181.81,         0.525701,                2221.403733,   282.8379,     5.0
  12,  208.12,         0.000000,                   0.000233,     0.0000,     5.0
  13,  208.67,         3.272104,               13826.604643,  1760.4580,     5.0
  14,  230.01,         0.000000,                   0.000460,     0.0001,     5.0
  15,  235.38,         3.636075,               15364.598613,  1956.2815,     5.0
  16,  260.63,         0.000000,                   0.000024,     0.0000,     5.0
  17,  340.12,         0.000000,                   0.000041,     0.0000,     5.0
  18,  379.28,         0.100402,                 424.256836,    54.0181,     5.0
  19,  402.59,         0.000000,                   0.000049,     0.0000,     5.0
  20,  445.19,         0.244879,                1034.761009,   131.7499,     5.0
  21,  528.11,         6.061126,               25611.894370,  3261.0077,     5.0
  22,  530.21,         0.000000,                   0.000095,     0.0000,     5.0
  23,  532.37,         3.271461,               13823.883944,  1760.1116,     5.0
  24,  547.32,         0.000000,                   0.000535,     0.0001,     5.0
  25,  565.00,         1.886858,                7973.106226,  1015.1674,     5.0
  26,  617.17,         0.000000,                   0.000018,     0.0000,     5.0
  27,  663.91,        20.514380,               86685.563611, 11037.1488,     5.0
  28,  725.56,         0.000000,                   0.000721,     0.0001,     5.0
  29,  818.40,         0.000000,                   0.000092,     0.0000,     5.0
  30, 1000.88,         8.075118,               34122.220208,  4344.5760,     5.0
  31, 1028.50,         0.000000,                   0.000133,     0.0000,     5.0
  32, 1188.93,        27.015566,              114156.976658, 14534.9177,     5.0
  33, 1195.88,         0.000000,                   0.001216,     0.0002,     5.0
  34, 1205.48,        23.204143,               98051.425969, 12484.2953,     5.0
  35, 1223.88,         0.000000,                   0.001510,     0.0002,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape[0 0 1]_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape[0 0 1]_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),ap_noshape[0 0 1]_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    0.000000,    0.000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,          2.22046231,          2.21907743,          2.25575697,          2.22085871,          2.22674450,          2.22479870,          2.32702293,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000,         -0.00000000
,,,,,,    0.200000,    0.005996,          0.00000183,          0.00000187,          0.00000256,          0.00000182,          0.00000205,          0.00000192,          0.00000398,          2.22046253,          2.21907766,          2.25575728,          2.22085893,          2.22674475,          2.22479893,          2.32702342,          0.00000545,          0.00000557,          0.00000771,          0.00000542,          0.00000612,          0.00000574,          0.00001215,          0.00000200,          0.00000204,          0.00000280,          0.00000199,          0.00000224,          0.00000210,          0.00000435
,,,,,,    0.400000,    0.011992,          0.00000731,          0.00000747,          0.00001025,          0.00000726,          0.00000819,          0.00000769,          0.00001590,          2.22046319,          2.21907832,          2.25575820,          2.22085958,          2.22674548,          2.22479961,          2.32702487,          0.00001091,          0.00001115,          0.00001541,          0.00001084,          0.00001224,          0.00001149,          0.00002430,          0.00000799,          0.00000817,          0.00001120,          0.00000794,          0.00000895,          0.00000841,          0.00001739
,,,,,,    0.600000,    0.017988,          0.00001644,          0.00001681,          0.00002305,          0.00001634,          0.00001843,          0.00001730,          0.00003579,          2.22046427,          2.21907944,          2.25575974,          2.22086066,          2.22674670,          2.22480076,          2.32702730,          0.00001636,          0.00001672,          0.00002312,          0.00001626,          0.00001836,          0.00001723,          0.00003646,          0.00001798,          0.00001837,          0.00002520,          0.00001787,          0.00002015,          0.00001891,          0.00003913
,,,,,,    0.800000,    0.023983,          0.00002923,          0.00002988,          0.00004099,          0.00002906,          0.00003276,          0.00003076,          0.00006362,          2.22046580,          2.21908099,          2.25576189,          2.22086218,          2.22674841,          2.22480237,          2.32703070,          0.00002182,          0.00002229,          0.00003083,          0.00002169,          0.00002449,          0.00002298,          0.00004861,          0.00003196,          0.00003267,          0.00004481,          0.00003177,          0.00003582,          0.00003363,          0.00006956
,,,,,,    1.000000,    0.029979,          0.00004568,          0.00004669,          0.00006404,          0.00004540,          0.00005119,          0.00004806,          0.00009942,          2.22046776,          2.21908300,          2.25576466,          2.22086413,          2.22675062,          2.22480443,          2.32703506,          0.00002727,          0.00002787,          0.00003854,          0.00002711,          0.00003061,          0.00002872,          0.00006076,          0.00004994,          0.00005104,          0.00007002,          0.00004964,          0.00005597,          0.00005255,          0.00010869
,,,,,,    1.200000,    0.035975,          0.00006578,          0.00006723,          0.00009223,          0.00006539,          0.00007372,          0.00006921,          0.00014317,          2.22047016,          2.21908545,          2.25576805,          2.22086651,          2.22675330,          2.22480696,          2.32704040,          0.00003273,          0.00003344,          0.00004625,          0.00003253,          0.00003673,          0.00003447,          0.00007292,          0.00007192,          0.00007351,          0.00010083,          0.00007149,          0.00008060,          0.00007567,          0.00015653
,,,,,,    1.400000,    0.041971,          0.00008954,          0.00009152,          0.00012554,          0.00008900,          0.00010035,          0.00009421,          0.00019488,          2.22047299,          2.21908834,          2.25577205,          2.22086932,          2.22675648,          2.22480994,          2.32704671,          0.00003819,          0.00003902,          0.00005396,          0.00003796,          0.00004286,          0.00004022,          0.00008508,          0.00009790,          0.00010006,          0.00013726,          0.00009731,          0.00010972,          0.00010300,          0.00021307
,,,,,,    1.600000,    0.047967,          0.00011696,          0.00011954,          0.00016398,          0.00011626,          0.00013108,          0.00012306,          0.00025456,          2.22047626,          2.21909168,          2.25577667,          2.22087257,          2.22676015,          2.22481338,          2.32705399,          0.00004365,          0.00004459,          0.00006168,          0.00004339,          0.00004898,          0.00004597,          0.00009724,          0.00012788,          0.00013070,          0.00017929,          0.00012711,          0.00014331,          0.00013455,          0.00027832
,,,,,,    1.800000,    0.053963,          0.00014804,          0.00015131,          0.00020756,          0.00014715,          0.00016591,          0.00015576,          0.00032221,          2.22047996,          2.21909547,          2.25578190,          2.22087626,          2.22676431,          2.22481728,          2.32706224,          0.00004911,          0.00005017,          0.00006939,          0.00004881,          0.00005511,          0.00005172,          0.00010941,          0.00016186,          0.00016543,          0.00022693,          0.00016088,          0.00018140,          0.00017030,          0.00035228
,,,,,,    2.000000,    0.059958,          0.00018279,          0.00018681,          0.00025628,          0.00018168,          0.00020485,          0.00019232,          0.00039783,          2.22048410,          2.21909970,          2.25578775,          2.22088037,          2.22676896,          2.22482164,          2.32707147,          0.00005457,          0.00005575,          0.00007711,          0.00005424,          0.00006124,          0.00005747,          0.00012158,          0.00019985,          0.00020425,          0.00028019,          0.00019864,          0.00022397,          0.00021027,          0.00043495
,,,,,,    2.200000,    0.065954,          0.00022120,          0.00022607,          0.00031013,          0.00021986,          0.00024790,          0.00023273,          0.00048143,          2.22048868,          2.21910437,          2.25579422,          2.22088492,          2.22677409,          2.22482646,          2.32708166,          0.00006003,          0.00006133,          0.00008483,          0.00005967,          0.00006737,          0.00006322,          0.00013375,          0.00024184,          0.00024716,          0.00033907,          0.00024038,          0.00027103,          0.00025445,          0.00052636
,,,,,,    2.400000,    0.071950,          0.00026327,          0.00026907,          0.00036913,          0.00026168,          0.00029505,          0.00027701,          0.00057301,          2.22049369,          2.21910950,          2.25580130,          2.22088990,          2.22677972,          2.22483174,          2.32709283,          0.00006549,          0.00006691,          0.00009255,          0.00006510,          0.00007350,          0.00006898,          0.00014593,          0.00028784,          0.00029418,          0.00040357,          0.00028610,          0.00032258,          0.00030286,          0.00062648
,,,,,,    2.600000,    0.077946,          0.00030902,          0.00031582,          0.00043327,          0.00030715,          0.00034631,          0.00032514,          0.00067258,          2.22049914,          2.21911506,          2.25580900,          2.22089532,          2.22678584,          2.22483748,          2.32710497,          0.00007096,          0.00007250,          0.00010028,          0.00007054,          0.00007964,          0.00007474,          0.00015811,          0.00033786,          0.00034529,          0.00047370,          0.00033581,          0.00037863,          0.00035548,          0.00073535
,,,,,,    2.800000,    0.083942,          0.00035844,          0.00036632,          0.00050256,          0.00035626,          0.00040169,          0.00037714,          0.00078015,          2.22050502,          2.21912108,          2.25581732,          2.22090118,          2.22679244,          2.22484368,          2.32711808,          0.00007643,          0.00007809,          0.00010801,          0.00007597,          0.00008577,          0.00008050,          0.00017030,          0.00039189,          0.00040050,          0.00054946,          0.00038951,          0.00043918,          0.00041233,          0.00085296
,,,,,,    3.000000,    0.089938,          0.00041154,          0.00042057,          0.00057701,          0.00040903,          0.00046119,          0.00043300,          0.00089572,          2.22051135,          2.21912754,          2.25582625,          2.22090746,          2.22679954,          2.22485034,          2.32713217,          0.00008190,          0.00008367,          0.00011574,          0.00008141,          0.00009191,          0.00008626,          0.00018249,          0.00044994,          0.00045982,          0.00063086,          0.00044720,          0.00050423,          0.00047341,          0.00097931
,,,,,,    3.200000,    0.095934,          0.00046831,          0.00047858,          0.00065662,          0.00046545,          0.00052480,          0.00049273,          0.00101930,          2.22051811,          2.21913445,          2.25583581,          2.22091418,          2.22680713,          2.22485746,          2.32714723,          0.00008738,          0.00008927,          0.00012348,          0.00008685,          0.00009806,          0.00009202,          0.00019469,          0.00051202,          0.00052325,          0.00071790,          0.00050889,          0.00057378,          0.00053872,          0.00111443
,,,,,,    3.400000,    0.101929,          0.00052877,          0.00054036,          0.00074140,          0.00052553,          0.00059255,          0.00055634,          0.00115090,          2.22052531,          2.21914180,          2.25584598,          2.22092134,          2.22681521,          2.22486504,          2.32716327,          0.00009285,          0.00009486,          0.00013122,          0.00009229,          0.00010420,          0.00009779,          0.00020690,          0.00057812,          0.00059078,          0.00081059,          0.00057457,          0.00064784,          0.00060826,          0.00125831
,,,,,,    3.600000,    0.107925,          0.00059291,          0.00060589,          0.00083135,          0.00058927,          0.00066442,          0.00062383,          0.00129053,          2.22053294,          2.21914960,          2.25585676,          2.22092893,          2.22682378,          2.22487308,          2.32718028,          0.00009833,          0.00010045,          0.00013897,          0.00009774,          0.00011035,          0.00010356,          0.00021911,          0.00064825,          0.00066244,          0.00090893,          0.00064426,          0.00072642,          0.00068205,          0.00141097
,,,,,,    3.800000,    0.113921,          0.00066075,          0.00067520,          0.00092647,          0.00065668,          0.00074042,          0.00069520,          0.00143820,          2.22054101,          2.21915785,          2.25586817,          2.22093695,          2.22683284,          2.22488158,          2.32719826,          0.00010382,          0.00010605,          0.00014672,          0.00010319,          0.00011650,          0.00010934,          0.00023133,          0.00072241,          0.00073821,          0.00101293,          0.00071796,          0.00080952,          0.00076007,          0.00157241
,,,,,,    4.000000,    0.119917,          0.00073228,          0.00074827,          0.00102678,          0.00072775,          0.00082056,          0.00077045,          0.00159391,          2.22054952,          2.21916655,          2.25588020,          2.22094541,          2.22684239,          2.22489055,          2.32721723,          0.00010930,          0.00011166,          0.00015448,          0.00010864,          0.00012265,          0.00011511,          0.00024356,          0.00080062,          0.00081810,          0.00112260,          0.00079567,          0.00089713,          0.00084235,          0.00174265
,,,,,,    4.200000,    0.125913,          0.00080751,          0.00082512,          0.00113228,          0.00080250,          0.00090484,          0.00084960,          0.00175767,          2.22055847,          2.21917569,          2.25589285,          2.22095431,          2.22685243,          2.22489997,          2.32723717,          0.00011479,          0.00011726,          0.00016224,          0.00011409,          0.00012881,          0.00012089,          0.00025580,          0.00088286,          0.00090213,          0.00123794,          0.00087739,          0.00098928,          0.00092888,          0.00192170
,,,,,,    4.400000,    0.131909,          0.00088644,          0.00090575,          0.00124297,          0.00088092,          0.00099326,          0.00093264,          0.00192951,          2.22056786,          2.21918528,          2.25590611,          2.22096364,          2.22686297,          2.22490986,          2.32725808,          0.00012029,          0.00012287,          0.00017000,          0.00011955,          0.00013497,          0.00012668,          0.00026804,          0.00096916,          0.00099028,          0.00135897,          0.00096313,          0.00108596,          0.00101968,          0.00210957
,,,,,,    4.600000,    0.137905,          0.00096908,          0.00099017,          0.00135887,          0.00096302,          0.00108584,          0.00101958,          0.00210942,          2.22057769,          2.21919532,          2.25592000,          2.22097341,          2.22687400,          2.22492021,          2.32727998,          0.00012578,          0.00012848,          0.00017777,          0.00012501,          0.00014114,          0.00013247,          0.00028029,          0.00105951,          0.00108257,          0.00148568,          0.00105290,          0.00118717,          0.00111473,          0.00230628
,,,,,,    4.800000,    0.143900,          0.00105543,          0.00107837,          0.00147998,          0.00104881,          0.00118257,          0.00111043,          0.00229742,          2.22058795,          2.21920581,          2.25593451,          2.22098361,          2.22688552,          2.22493102,          2.32730285,          0.00013128,          0.00013409,          0.00018555,          0.00013047,          0.00014731,          0.00013826,          0.00029256,          0.00115393,          0.00117901,          0.00161809,          0.00114669,          0.00129293,          0.00121406,          0.00251182
,,,,,,    5.000000,    0.149896,          0.00114550,          0.00117037,          0.00160631,          0.00113829,          0.00128347,          0.00120519,          0.00249353,          2.22059866,          2.21921675,          2.25594964,          2.22099425,          2.22689753,          2.22494230,          2.32732671,          0.00013679,          0.00013971,          0.00019333,          0.00013594,          0.00015348,          0.00014406,          0.00030483,          0.00125241,          0.00127959,          0.00175621,          0.00124452,          0.00140324,          0.00131766,          0.00272623
,,,,,,    5.200000,    0.155892,          0.00123930,          0.00126616,          0.00173786,          0.00123147,          0.00138853,          0.00130387,          0.00269775,          2.22060980,          2.21922813,          2.25596539,          2.22100533,          2.22691004,          2.22495403,          2.32735154,          0.00014230,          0.00014534,          0.00020112,          0.00014141,          0.00015966,          0.00014986,          0.00031711,          0.00135496,          0.00138432,          0.00190005,          0.00134639,          0.00151811,          0.00142555,          0.00294951
,,,,,,    5.400000,    0.161888,          0.00133683,          0.00136576,          0.00187466,          0.00132834,          0.00149776,          0.00140647,          0.00291010,          2.22062139,          2.21923997,          2.25598176,          2.22101685,          2.22692304,          2.22496624,          2.32737736,          0.00014781,          0.00015096,          0.00020892,          0.00014688,          0.00016584,          0.00015566,          0.00032941,          0.00146158,          0.00149322,          0.00204961,          0.00145231,          0.00163754,          0.00153773,          0.00318167
,,,,,,    5.600000,    0.167884,          0.00143809,          0.00146917,          0.00201670,          0.00142892,          0.00161118,          0.00151300,          0.00313059,          2.22063342,          2.21925225,          2.25599876,          2.22102880,          2.22693653,          2.22497890,          2.32740415,          0.00015333,          0.00015659,          0.00021672,          0.00015236,          0.00017203,          0.00016147,          0.00034171,          0.00157230,          0.00160627,          0.00220490,          0.00156228,          0.00176154,          0.00165420,          0.00342274
,,,,,,    5.800000,    0.173880,          0.00154310,          0.00157639,          0.00216399,          0.00153322,          0.00172878,          0.00162347,          0.00335924,          2.22064588,          2.21926499,          2.25601638,          2.22104119,          2.22695052,          2.22499203,          2.32743193,          0.00015885,          0.00016223,          0.00022453,          0.00015785,          0.00017822,          0.00016729,          0.00035403,          0.00168710,          0.00172350,          0.00236594,          0.00167630,          0.00189011,          0.00177497,          0.00367273
,,,,,,    6.000000,    0.179875,          0.00165185,          0.00168743,          0.00231655,          0.00164123,          0.00185057,          0.00173788,          0.00359606,          2.22065879,          2.21927817,          2.25603462,          2.22105402,          2.22696500,          2.22500562,          2.32746070,          0.00016438,          0.00016787,          0.00023235,          0.00016334,          0.00018441,          0.00017311,          0.00036635,          0.00180601,          0.00184491,          0.00253274,          0.00179439,          0.00202327,          0.00190006,          0.00393165
,,,,,,    6.200000,    0.185871,          0.00176437,          0.00180230,          0.00247438,          0.00175296,          0.00197656,          0.00185624,          0.00384106,          2.22067214,          2.21929181,          2.25605349,          2.22106728,          2.22697998,          2.22501968,          2.32749045,          0.00016991,          0.00017351,          0.00024018,          0.00016883,          0.00019062,          0.00017893,          0.00037869,          0.00192902,          0.00197049,          0.00270530,          0.00191655,          0.00216102,          0.00202946,          0.00419952
,,,,,,    6.400000,    0.191867,          0.00188064,          0.00192100,          0.00263750,          0.00186842,          0.00210676,          0.00197855,          0.00409428,          2.22068593,          2.21930589,          2.25607298,          2.22108099,          2.22699546,          2.22503421,          2.32752118,          0.00017545,          0.00017916,          0.00024801,          0.00017433,          0.00019682,          0.00018477,          0.00039105,          0.00205615,          0.00210027,          0.00288364,          0.00204279,          0.00230336,          0.00216320,          0.00447637
,,,,,,    6.600000,    0.197863,          0.00200068,          0.00204354,          0.00280591,          0.00198762,          0.00224117,          0.00210483,          0.00435571,          2.22070017,          2.21932043,          2.25609310,          2.22109514,          2.22701143,          2.22504920,          2.32755291,          0.00018099,          0.00018481,          0.00025585,          0.00017983,          0.00020304,          0.00019060,          0.00040341,          0.00218739,          0.00223425,          0.00306777,          0.00217311,          0.00245032,          0.00230126,          0.00476220
,,,,,,    6.800000,    0.203859,          0.00212451,          0.00216993,          0.00297964,          0.00211057,          0.00237980,          0.00223508,          0.00462538,          2.22071484,          2.21933542,          2.25611385,          2.22110972,          2.22702790,          2.22506466,          2.32758562,          0.00018654,          0.00019047,          0.00026371,          0.00018534,          0.00020926,          0.00019644,          0.00041579,          0.00232277,          0.00237243,          0.00325770,          0.00230753,          0.00260189,          0.00244367,          0.00505703
